# Journal Data Filtered By:  Selected JCR Year: 2016 Selected Editions: SCIE,SSCI Selected Categories: 'BIODIVERSITY%20CONSERVATION','BIOLOGY','ECOLOGY','ENTOMOLOGY','EVOLUTIONARY%20BIOLOGY','ORNITHOLOGY','ZOOLOGY' Selected Category Scheme: WoS
# Copyright © 2017 Clarivate Analytics
Rank;Full.Journal.Title;JCR.Abbreviated.Title;Total.Cites;Journal.Impact.Factor;Impact.Factor.without.Journal.Self.Cites;Citable.Items;Eigenfactor.Score;X..Articles.in.Citable.Items
252;WILDLIFE RESEARCH;WILDLIFE RES;2389;1.29;1.109;58;0.00249;91.38
255;AEROBIOLOGIA;AEROBIOLOGIA;1166;2.202;1.488;57;0.00105;100
255;AUK;AUK;6078;2.096;1.956;57;0.00421;94.74
255;EMU;EMU;1078;0.989;0.92;57;0.00138;96.49
255;Herpetological Conservation and Biology;HERPETOL CONSERV BIO;442;0.701;0.642;57;0.00121;100
255;JOURNAL OF INSECT BEHAVIOR;J INSECT BEHAV;1543;0.97;0.902;57;0.00143;100
255;Journal of Experimental Zoology Part A-Ecological Genetics and Physiology;J EXP ZOOL PART A;1298;1.28;1.22;57;0.00174;100
255;SHILAP-REVISTA DE LEPIDOPTEROLOGIA;SHILAP-REV LEPIDOPT;162;0.264;0.127;57;2e-04;98.25
262;BIOLOGICAL REVIEWS;BIOL REV;9669;11.615;11.513;56;0.01726;73.21
262;Conservation Letters;CONSERV LETT;2420;7.02;6.752;56;0.00904;91.07
262;Endangered Species Research;ENDANGER SPECIES RES;1649;1.682;1.299;56;0.0035;91.07
262;ZOOLOGICA SCRIPTA;ZOOL SCR;2019;2.837;2.765;56;0.00309;87.5
266;ARTHROPOD STRUCTURE & DEVELOPMENT;ARTHROPOD STRUCT DEV;1186;1.546;1.361;55;0.00194;98.18
266;Insect Conservation and Diversity;INSECT CONSERV DIVER;776;1.84;1.689;55;0.0025;100
266;LABORATORY ANIMALS;LAB ANIM-UK;1721;1.532;1.383;55;0.00154;98.18
266;MEDICAL AND VETERINARY ENTOMOLOGY;MED VET ENTOMOL;2813;1.809;1.725;55;0.00315;100
266;ORGANISMS DIVERSITY & EVOLUTION;ORG DIVERS EVOL;1195;2.313;2.205;55;0.00316;80
266;RANGELAND JOURNAL;RANGELAND J;749;1.211;0.807;55;0.00096;92.73
272;ZOOLOGISCHER ANZEIGER;ZOOL ANZ;1748;1.2;1.137;54;0.00149;100
273;AMERICAN MIDLAND NATURALIST;AM MIDL NAT;3548;0.636;0.612;53;0.00117;100
273;ANIMAL CONSERVATION;ANIM CONSERV;2778;2.835;2.769;53;0.00441;96.23
273;ANNALES ZOOLOGICI;ANN ZOOL;637;0.699;0.466;53;0.00087;98.11
273;AQUATIC MAMMALS;AQUAT MAMM;1065;0.908;0.803;53;0.00089;98.11
273;INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY;INT J SUST DEV WORLD;1081;1.864;1.345;53;0.00118;100
273;JOURNAL OF FRESHWATER ECOLOGY;J FRESHWATER ECOL;904;0.942;0.837;53;0.00069;100
273;JOURNAL OF TROPICAL ECOLOGY;J TROP ECOL;3022;1.041;0.95;53;0.00202;100
273;THEORETICAL POPULATION BIOLOGY;THEOR POPUL BIOL;3751;1.613;1.423;53;0.00295;100
281;Arthropod-Plant Interactions;ARTHROPOD-PLANT INTE;708;1.441;1.331;52;0.00208;100
281;BIOELECTROMAGNETICS;BIOELECTROMAGNETICS;2760;1.933;1.79;52;0.00257;98.08
281;BMC ECOLOGY;BMC ECOL;878;2.896;2.688;52;0.00236;100
281;CRYOLETTERS;CRYOLETTERS;890;0.628;0.496;52;0.00077;98.08
281;Frontiers in Zoology;FRONT ZOOL;1848;2.781;2.712;52;0.00476;94.23
281;ICHTHYOLOGICAL RESEARCH;ICHTHYOL RES;780;1.258;0.899;52;0.00079;98.08
281;POLISH JOURNAL OF ECOLOGY;POL J ECOL;607;0.639;0.557;52;0.00084;100
288;EXPERIMENTAL ANIMALS;EXP ANIM TOKYO;872;1.374;1.303;51;0.00128;98.04
288;Ecological Complexity;ECOL COMPLEX;1356;1.784;1.642;51;0.00268;100
288;FRONTIERS IN ECOLOGY AND THE ENVIRONMENT;FRONT ECOL ENVIRON;8134;8.039;7.819;51;0.01784;50.98
288;INTERNATIONAL JOURNAL OF ACAROLOGY;INT J ACAROL;808;0.919;0.77;51;0.00137;98.04
288;POLAR RECORD;POLAR REC;517;0.914;0.774;51;0.00079;98.04
288;ZOOLOGY IN THE MIDDLE EAST;ZOOL MIDDLE EAST;416;0.525;0.455;51;0.00068;100
294;AMPHIBIA-REPTILIA;AMPHIBIA-REPTILIA;1278;1.287;1.184;50;0.00125;98
294;ANIMAL WELFARE;ANIM WELFARE;1767;1.462;1.297;50;0.00226;96
294;AQUATIC ECOLOGY;AQUAT ECOL;1540;1.5;1.354;50;0.00172;92
294;JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY;J EVOL BIOCHEM PHYS+;343;0.316;0.188;50;0.00028;90
294;JOURNAL OF HYMENOPTERA RESEARCH;J HYMENOPT RES;314;0.793;0.69;50;0.00063;94
294;Journal of Fish and Wildlife Management;J FISH WILDL MANAG;184;0.633;0.578;50;0.00075;100
300;ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE;ACTA ENT MUS NAT PRA;341;0.632;0.436;49;0.00085;93.88
300;EVOLUTIONARY ECOLOGY RESEARCH;EVOL ECOL RES;1890;0.837;0.735;49;0.00115;100
300;NATURAL AREAS JOURNAL;NAT AREA J;645;0.949;0.899;49;0.00082;97.96
303;ACTA AMAZONICA;ACTA AMAZON;1384;0.775;0.716;48;0.00105;100
303;ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY;ARCH INSECT BIOCHEM;1806;1.53;1.47;48;0.0014;100
303;Animal Cells and Systems;ANIM CELLS SYST;128;0.376;0.22;48;0.00027;95.83
303;POPULATION ECOLOGY;POPUL ECOL;1156;1.865;1.739;48;0.00227;97.92
303;SYSTEMATIC ENTOMOLOGY;SYST ENTOMOL;2134;4.474;3.969;48;0.00445;95.83
308;ACAROLOGIA;ACAROLOGIA;864;0.667;0.623;47;0.00069;100
308;AGRICULTURAL AND FOREST ENTOMOLOGY;AGR FOREST ENTOMOL;1245;1.726;1.537;47;0.00172;100
308;JOURNAL OF THE LEPIDOPTERISTS SOCIETY;J LEPID SOC;456;0.474;0.382;47;0.00039;100
308;RADIATION AND ENVIRONMENTAL BIOPHYSICS;RADIAT ENVIRON BIOPH;1468;2.398;2.263;47;0.00245;97.87
308;WESTERN NORTH AMERICAN NATURALIST;WEST N AM NATURALIST;611;0.311;0.262;47;0.00067;100
313;Austral Entomology;AUSTRAL ENTOMOL;126;1.341;1.121;46;0.00047;93.48
313;NORTHEASTERN NATURALIST;NORTHEAST NAT;515;0.431;0.401;46;0.00082;100
313;PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY;PHYSIOL BIOCHEM ZOOL;2833;2.104;2.037;46;0.0035;100
313;SOUTHWESTERN NATURALIST;SOUTHWEST NAT;1170;0.219;0.213;46;0.00057;100
317;BIOLOGICAL BULLETIN;BIOL BULL-US;4803;1.95;1.871;45;0.00228;100
317;CONDOR;CONDOR;4864;2.654;2.019;45;0.00292;95.56
317;CYBIUM;CYBIUM;821;0.575;0.479;45;0.00065;100
317;ENTOMOLOGICAL RESEARCH;ENTOMOL RES;289;0.573;0.415;45;0.00031;91.11
317;Evolutionary Biology;EVOL BIOL;1492;2.084;1.979;45;0.00392;71.11
317;JOURNAL OF ARACHNOLOGY;J ARACHNOL;1449;0.988;0.835;45;0.00106;95.56
317;JOURNAL OF VECTOR ECOLOGY;J VECTOR ECOL;1197;1.473;1.393;45;0.00211;100
317;LEARNING & BEHAVIOR;LEARN BEHAV;768;1.015;0.892;45;0.00122;93.33
317;NEW ZEALAND JOURNAL OF ECOLOGY;NEW ZEAL J ECOL;1180;1.704;1.324;45;0.00112;88.89
317;North-Western Journal of Zoology;NORTH-WEST J ZOOL;333;0.733;0.664;45;0.00097;95.56
327;INTERNATIONAL JOURNAL OF PEST MANAGEMENT;INT J PEST MANAGE;714;0.64;0.593;44;0.00071;100
327;JOURNAL OF ETHOLOGY;J ETHOL;812;1.061;1.02;44;0.00105;100
327;JOURNAL OF SYSTEMATIC PALAEONTOLOGY;J SYST PALAEONTOL;987;2.963;2.877;44;0.00255;79.55
327;PERIODICUM BIOLOGORUM;PERIOD BIOL;289;0.184;0.175;44;0.00025;95.45
331;ACTA ZOOLOGICA;ACTA ZOOL-STOCKHOLM;1024;1.211;1.074;43;0.00102;97.67
331;BIOLOGICAL RESEARCH;BIOL RES;1230;1.692;1.629;43;0.00163;86.05
331;Conservation Physiology;CONSERV PHYSIOL;493;2.323;1.919;43;0.00182;90.7
331;JOURNAL OF BIOLOGICAL RHYTHMS;J BIOL RHYTHM;2617;3.5;3.346;43;0.00421;90.7
331;Mammal Research;MAMMAL RES;52;1.068;0.932;43;0.00021;100
331;PHYSIOLOGICAL ENTOMOLOGY;PHYSIOL ENTOMOL;1811;1.364;1.286;43;0.00148;90.7
331;POLAR RESEARCH;POLAR RES;1501;2.146;2.098;43;0.00247;97.67
331;PROCEEDINGS OF THE ENTOMOLOGICAL SOCIETY OF WASHINGTON;P ENTOMOL SOC WASH;1136;0.42;0.232;43;0.00032;100
331;ZOOMORPHOLOGY;ZOOMORPHOLOGY;905;1.038;1;43;0.00094;100
340;Aquatic Invasions;AQUAT INVASIONS;1054;2.069;1.92;42;0.002;92.86
340;COMPARATIVE PARASITOLOGY;COMP PARASITOL;348;0.659;0.545;42;0.00055;97.62
340;INTERNATIONAL JOURNAL OF PRIMATOLOGY;INT J PRIMATOL;2859;1.285;1.123;42;0.00292;97.62
340;JOURNAL OF COMPARATIVE PSYCHOLOGY;J COMP PSYCHOL;2709;2.268;2.122;42;0.00297;100
340;JOURNAL OF MOLECULAR EVOLUTION;J MOL EVOL;8098;2.434;2.303;42;0.00275;90.48
340;Management of Biological Invasions;MANAG BIOL INVASION;189;1.439;1.439;42;0.00077;100
346;ACTA BIOLOGICA HUNGARICA;ACTA BIOL HUNG;448;0.506;0.47;41;0.00042;97.56
346;HERPETOLOGICA;HERPETOLOGICA;2436;1.333;1.205;41;0.00129;100
346;Integrative Zoology;INTEGR ZOOL;658;2.07;1.85;41;0.00164;90.24
346;ORNITOLOGIA NEOTROPICAL;ORNITOL NEOTROP;457;0.241;0.19;41;0.00043;100
346;OSTRICH;OSTRICH;490;0.833;0.667;41;0.00041;100
346;SYSTEMATICS AND BIODIVERSITY;SYST BIODIVERS;746;2.127;2.028;41;0.00163;100
352;ACTA ICHTHYOLOGICA ET PISCATORIA;ACTA ICHTHYOL PISCAT;347;0.67;0.567;40;0.00084;100
352;BULLETIN OF INSECTOLOGY;B INSECTOL;706;1.051;0.899;40;0.00135;97.5
352;ELECTROMAGNETIC BIOLOGY AND MEDICINE;ELECTROMAGN BIOL MED;573;1.272;1.155;40;0.00096;85
352;ENVIRONMENTAL CONSERVATION;ENVIRON CONSERV;3004;1.826;1.783;40;0.0022;97.5
352;ICHTHYOLOGICAL EXPLORATION OF FRESHWATERS;ICHTHYOL EXPLOR FRES;627;0.953;0.719;40;0.00071;100
352;ORIGINS OF LIFE AND EVOLUTION OF BIOSPHERES;ORIGINS LIFE EVOL B;1224;1;0.901;40;0.00126;100
352;PALEOBIOLOGY;PALEOBIOLOGY;3712;2.886;2.494;40;0.00328;92.5
352;PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS;PERSPECT PLANT ECOL;1896;3.123;3.062;40;0.00374;87.5
352;RUSSIAN JOURNAL OF HERPETOLOGY;RUSS J HERPETOL;224;0.384;0.205;40;0.00027;100
352;TURKIYE ENTOMOLOJI DERGISI-TURKISH JOURNAL OF ENTOMOLOGY;TURK ENTOMOL DERG-TU;245;0.612;0.45;40;4e-04;100
362;HERPETOLOGICAL JOURNAL;HERPETOL J;584;0.896;0.836;39;0.00067;100
362;JOURNAL OF MEDICAL PRIMATOLOGY;J MED PRIMATOL;827;0.814;0.775;39;0.001;94.87
362;JOURNAL OF RAPTOR RESEARCH;J RAPTOR RES;802;0.745;0.617;39;0.00073;97.44
362;Theoretical Ecology;THEOR ECOL-NETH;514;1.221;1.191;39;0.00226;100
366;BIRD CONSERVATION INTERNATIONAL;BIRD CONSERV INT;807;1.088;1;38;0.00141;94.74
366;Evolutionary Bioinformatics;EVOL BIOINFORM;1157;1.5;1.468;38;0.00123;100
366;JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS;J AGR BIOL ENVIR ST;809;0.852;0.721;38;0.00178;100
369;CLADISTICS;CLADISTICS;3596;4.309;4.015;37;0.00437;97.3
369;JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION;J EXP ZOOL PART B;1384;2.387;2.255;37;0.00338;91.89
369;JOURNAL OF NEMATOLOGY;J NEMATOL;2271;1.087;0.957;37;0.00104;100
369;JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION;J AM MOSQUITO CONTR;2094;0.86;0.748;37;0.00125;100
369;WILDLIFE BIOLOGY;WILDLIFE BIOL;1272;1.28;1.207;37;0.00158;100
369;Zoologia;ZOOLOGIA-CURITIBA;555;0.642;0.62;37;0.00177;94.59
375;ACTA CHIROPTEROLOGICA;ACTA CHIROPTEROL;661;1.04;0.907;36;0.00085;97.22
375;Asian Herpetological Research;ASIAN HERPETOL RES;120;0.385;0.354;36;0.00042;100
375;FOLIA ZOOLOGICA;FOLIA ZOOL;792;0.739;0.638;36;0.00065;94.44
375;Geobiology;GEOBIOLOGY;1798;3.462;3.295;36;0.00415;97.22
375;INVERTEBRATE BIOLOGY;INVERTEBR BIOL;677;0.949;0.881;36;0.00087;97.22
375;JOURNAL OF ETHNOBIOLOGY;J ETHNOBIOL;422;1.217;1;36;0.00049;100
375;JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION;J EXP PSYCHOL-ANIM L;2137;2.132;1.868;36;0.00187;91.67
375;Revista Brasileira de Ornitologia;REV BRAS ORNITOL;236;0.414;0.241;36;0.00057;94.44
383;Avian Biology Research;AVIAN BIOL RES;290;0.828;0.69;35;0.00083;100
383;CHELONIAN CONSERVATION AND BIOLOGY;CHELONIAN CONSERV BI;716;0.8;0.708;35;0.00084;97.14
383;DEVELOPMENT GENES AND EVOLUTION;DEV GENES EVOL;1556;1.422;1.391;35;0.00163;85.71
383;PACIFIC SCIENCE;PAC SCI;1402;0.9;0.813;35;0.00082;97.14
387;AMERICAN MALACOLOGICAL BULLETIN;AM MALACOL BULL;435;0.911;0.844;34;0.00064;100
387;INVERTEBRATE REPRODUCTION & DEVELOPMENT;INVERTEBR REPROD DEV;649;0.824;0.797;34;0.00057;100
387;INVERTEBRATE SYSTEMATICS;INVERTEBR SYST;814;2.172;2.031;34;0.00185;100
390;AUSTRALIAN MAMMALOGY;AUST MAMMAL;417;0.786;0.643;33;0.00058;90.91
390;BRAIN BEHAVIOR AND EVOLUTION;BRAIN BEHAV EVOLUT;2100;1.915;1.732;33;0.00228;100
390;ENTOMOLOGICAL NEWS;ENTOMOL NEWS;699;0.226;0.172;33;0.00022;100
390;ETHOLOGY ECOLOGY & EVOLUTION;ETHOL ECOL EVOL;703;1.582;1.527;33;0.00086;100
390;International Journal of Astrobiology;INT J ASTROBIOL;475;1.598;1.565;33;0.00134;96.97
390;JOURNAL OF APICULTURAL SCIENCE;J APIC SCI;222;0.722;0.593;33;0.00048;93.94
390;JOURNAL OF FIELD ORNITHOLOGY;J FIELD ORNITHOL;1374;1.5;1.382;33;0.00125;90.91
390;NORTHWEST SCIENCE;NORTHWEST SCI;701;0.548;0.532;33;0.00057;100
398;ISJ-Invertebrate Survival Journal;ISJ-INVERT SURVIV J;372;0.824;0.691;32;0.00064;75
398;JOURNAL OF THE ENTOMOLOGICAL RESEARCH SOCIETY;J ENTOMOL RES SOC;99;0.266;0.234;32;0.00031;100
398;SPIXIANA;SPIXIANA;302;0.784;0.784;32;0.00035;100
401;ANIMAL BIOLOGY;ANIM BIOL;360;0.574;0.556;31;0.00048;100
401;JOURNAL OF ENTOMOLOGICAL SCIENCE;J ENTOMOL SCI;565;0.462;0.41;31;0.00042;96.77
401;Palaeobiodiversity and Palaeoenvironments;PALAEOBIO PALAEOENV;315;1.278;1.194;31;0.00097;93.55
401;REDIA-GIORNALE DI ZOOLOGIA;REDIA;433;0.25;0.208;31;0.00024;100
405;AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE;AFR J RANGE FOR SCI;323;0.961;0.725;30;0.00029;96.67
405;BioInvasions Records;BIOINVASIONS REC;203;0.835;0.835;30;0.00088;100
405;JOURNAL OF BIOLOGICAL EDUCATION;J BIOL EDUC;519;0.946;0.75;30;0.00042;100
405;ZHURNAL OBSHCHEI BIOLOGII;ZH OBSHCH BIOL;206;0.313;0.194;30;0.00015;100
409;AUSTRALIAN JOURNAL OF ZOOLOGY;AUST J ZOOL;1722;0.766;0.702;29;0.00094;89.66
409;ECOLOGICAL MONOGRAPHS;ECOL MONOGR;10304;8.759;8.672;29;0.00799;93.1
409;Israel Journal of Ecology & Evolution;ISR J ECOL EVOL;205;0.696;0.652;29;0.00027;93.1
409;JOURNAL OF BIOLOGICAL SYSTEMS;J BIOL SYST;395;0.39;0.305;29;0.00054;100
409;JOURNAL OF MAMMALIAN EVOLUTION;J MAMM EVOL;642;2.271;2.146;29;0.00119;96.55
409;MAMMAL STUDY;MAMM STUDY;269;0.661;0.644;29;0.00045;86.21
409;PLANT SPECIES BIOLOGY;PLANT SPEC BIOL;575;1.25;1.147;29;0.00075;100
416;COMPOST SCIENCE & UTILIZATION;COMPOST SCI UTIL;602;0.7;0.68;28;0.00033;92.86
416;EVOLUTION & DEVELOPMENT;EVOL DEV;1995;2.243;2.157;28;0.00272;96.43
416;Entomologica Americana;ENTOMOL AM-NY;62;0.75;0.75;28;2e-04;96.43
416;NEW ZEALAND JOURNAL OF ZOOLOGY;NEW ZEAL J ZOOL;901;0.811;0.66;28;0.00049;92.86
416;STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT;STUD NEOTROP FAUNA E;534;0.315;0.259;28;0.00039;100
421;ANNALES ZOOLOGICI FENNICI;ANN ZOOL FENN;1631;1.533;1.48;27;0.00097;100
421;Acta Herpetologica;ACTA HERPETOL;174;0.654;0.596;27;0.00043;100
421;FOLIA BIOLOGICA;FOLIA BIOL-PRAGUE;529;0.939;0.939;27;0.00063;96.3
421;JOURNAL OF PESTICIDE SCIENCE;J PESTIC SCI;673;0.762;0.587;27;0.00061;92.59
421;JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH;J ZOOL SYST EVOL RES;992;2.444;2.302;27;0.00171;96.3
421;Journal of Biological Dynamics;J BIOL DYNAM;422;1.279;1.279;27;0.00165;100
421;POLISH POLAR RESEARCH;POL POLAR RES;578;0.636;0.582;27;0.00059;100
421;REVUE SUISSE DE ZOOLOGIE;REV SUISSE ZOOL;835;0.38;0.3;27;0.00031;100
429;AFRICAN ZOOLOGY;AFR ZOOL;459;0.6;0.586;26;0.00085;92.31
429;ECOLOGICAL MANAGEMENT & RESTORATION;ECOL MANAG RESTOR;622;1.139;1.097;26;0.00097;76.92
429;EvoDevo;EVODEVO;599;2.818;2.705;26;0.00301;96.15
429;Human-Wildlife Interactions;HUM-WILDL INTERACT;171;0.704;0.611;26;0.00068;73.08
429;IHERINGIA SERIE ZOOLOGIA;IHERINGIA SER ZOOL;611;0.403;0.387;26;0.00076;100
434;AQUATIC MICROBIAL ECOLOGY;AQUAT MICROB ECOL;3972;1.633;1.56;25;0.00305;92
434;Annual Review of Entomology;ANNU REV ENTOMOL;11445;12.867;12.783;25;0.01;0
434;COMMUNITY ECOLOGY;COMMUNITY ECOL;492;0.782;0.745;25;0.00093;100
434;MOLLUSCAN RESEARCH;MOLLUSCAN RES;170;0.491;0.434;25;0.00025;100
434;PEDOBIOLOGIA;PEDOBIOLOGIA;2218;2;1.818;25;0.00167;92
434;PHYLLOMEDUSA;PHYLLOMEDUSA;177;0.548;0.484;25;0.00021;100
434;SALAMANDRA;SALAMANDRA;294;1.25;1.136;25;6e-04;100
434;Vertebrate Zoology;VERTEBR ZOOL;148;1.059;0.784;25;0.00047;100
442;ANIMAL BIODIVERSITY AND CONSERVATION;ANIM BIODIV CONSERV;370;0.532;0.532;24;0.00056;100
442;ANNALES DE LA SOCIETE ENTOMOLOGIQUE DE FRANCE;ANN SOC ENTOMOL FR;1340;0.513;0.461;24;0.00056;100
442;ARDEA;ARDEA;1114;1.395;1.263;24;0.00053;100
442;FOLIA BIOLOGICA-KRAKOW;FOLIA BIOL-KRAKOW;333;0.581;0.558;24;4e-04;100
442;FOLIA PRIMATOLOGICA;FOLIA PRIMATOL;1283;0.737;0.596;24;0.00046;100
442;Fire Ecology;FIRE ECOL;467;1.359;1.179;24;0.00086;95.83
442;INTERNATIONAL JOURNAL OF ODONATOLOGY;INT J ODONATOL;195;0.647;0.471;24;0.00037;100
442;JOURNAL OF CONCHOLOGY;J CONCHOL;220;0.341;0.293;24;0.00016;95.83
442;Myrmecological News;MYRMECOL NEWS;468;1.805;1.463;24;0.00121;75
442;ORNITHOLOGICAL SCIENCE;ORNITHOL SCI;165;0.5;0.423;24;0.00021;100
442;South American Journal of Herpetology;S AM J HERPETOL;299;1.143;1.102;24;0.00069;100
453;ACTA ETHOLOGICA;ACTA ETHOL;331;1.417;1.367;23;0.00067;100
453;AMERICAN MUSEUM NOVITATES;AM MUS NOVIT;2352;0.873;0.836;23;0.00095;100
453;ENTOMOLOGIA GENERALIS;ENTOMOL GEN;183;0.4;0.4;23;0.00014;91.3
453;JOURNAL OF THE HISTORY OF BIOLOGY;J HIST BIOL;482;0.737;0.632;23;0.00064;100
453;Landscape and Ecological Engineering;LANDSC ECOL ENG;250;0.692;0.646;23;0.00039;95.65
453;MAMMAL REVIEW;MAMMAL REV;1526;3.286;3.214;23;0.00202;0
453;ORNIS FENNICA;ORNIS FENNICA;507;1.238;1.19;23;0.00057;91.3
460;AUSTRALIAN SYSTEMATIC BOTANY;AUST SYST BOT;704;0.75;0.615;22;5e-04;100
460;Annual Review of Ecology Evolution and Systematics;ANNU REV ECOL EVOL S;18581;10.182;9.909;22;0.01168;0
460;Avian Research;AVIAN RES;31;0.853;0.676;22;1e-04;100
460;CHEMOECOLOGY;CHEMOECOLOGY;930;1.298;1.228;22;0.0011;86.36
460;GAYANA;GAYANA;225;0.553;0.395;22;0.00023;100
460;INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE;INT J TROP INSECT SC;285;0.375;0.361;22;0.00039;100
466;ACTA ORNITHOLOGICA;ACTA ORNITHOL;502;0.896;0.792;21;0.00065;100
466;ARDEOLA;ARDEOLA;433;0.807;0.737;21;0.00043;61.9
466;INSECT SYSTEMATICS & EVOLUTION;INSECT SYST EVOL;349;1.3;1.3;21;0.00058;100
466;MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA;MATH MED BIOL;469;1.61;1.512;21;0.00092;100
466;VIE ET MILIEU-LIFE AND ENVIRONMENT;VIE MILIEU;482;0.343;0.343;21;0.00017;90.48
471;Advances in Insect Physiology;ADV INSECT PHYSIOL;710;3.552;3.448;20;0.00112;0
471;Avian Conservation and Ecology;AVIAN CONSERV ECOL;228;1.086;1;20;0.00062;100
471;BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING;BIOACOUSTICS;509;1.297;1.189;20;0.00052;100
471;CONTRIBUTIONS TO ZOOLOGY;CONTRIB ZOOL;434;1.972;1.889;20;0.00081;100
471;JAPANESE JOURNAL OF APPLIED ENTOMOLOGY AND ZOOLOGY;JPN J APPL ENTOMOL Z;332;0.426;0.361;20;0.00017;85
471;ODONATOLOGICA;ODONATOLOGICA;309;0.718;0.538;20;0.00027;100
471;PAN-PACIFIC ENTOMOLOGIST;PAN-PAC ENTOMOL;441;0.421;0.342;20;3e-04;95
478;CALDASIA;CALDASIA;256;0.241;0.19;19;0.00023;100
478;Journal of Biological Research-Thessaloniki;J BIOL RES-THESSALON;198;1.2;1.2;19;0.00033;94.74
478;NAUTILUS;NAUTILUS;381;0.457;0.4;19;0.00026;100
478;ORIENTAL INSECTS;ORIENT INSECTS;259;0.238;0.214;19;0.00023;100
478;WEB ECOLOGY;WEB ECOL;110;0.941;0.941;19;0.00021;100
483;AQUATIC INSECTS;AQUAT INSECT;323;0.524;0.476;18;0.00018;100
483;ENTOMOLOGICA FENNICA;ENTOMOL FENNICA;217;0.3;0.275;18;0.00025;100
483;ZOOSYSTEMA;ZOOSYSTEMA;430;0.632;0.544;18;0.00054;88.89
486;Annual Review of Animal Biosciences;ANNU REV ANIM BIOSCI;425;4.708;4.667;17;0.00197;0
486;HYSTRIX-Italian Journal of Mammalogy;HYSTRIX;549;1.479;1.354;17;0.00192;100
486;JOURNAL OF THE KANSAS ENTOMOLOGICAL SOCIETY;J KANSAS ENTOMOL SOC;1105;0.505;0.418;17;0.00051;100
486;KOEDOE;KOEDOE;442;0.882;0.794;17;0.00044;100
486;Natureza & Conservacao;NAT CONSERVACAO;294;1.2;1.073;17;0.00092;100
486;QUARTERLY REVIEW OF BIOLOGY;Q REV BIOL;3683;4.25;4.2;17;0.0015;0
486;THEORY IN BIOSCIENCES;THEOR BIOSCI;338;0.778;0.667;17;0.00081;94.12
486;Zoosystematics and Evolution;ZOOSYST EVOL;104;0.931;0.931;17;0.00034;94.12
494;ANTHROPOLOGICAL SCIENCE;ANTHROPOL SCI;414;0.971;0.794;16;7e-04;100
494;REVISTA COLOMBIANA DE ENTOMOLOGIA;REV COLOMB ENTOMOL;271;0.253;0.253;16;0.00046;100
496;ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE;ACTA ZOOL ACAD SCI H;496;0.52;0.48;15;0.00036;93.33
496;ANNALS OF CARNEGIE MUSEUM;ANN CARNEGIE MUS;446;0.75;0.5;15;0.00028;100
496;Arthropod Systematics & Phylogeny;ARTHROPOD SYST PHYLO;271;2.357;2.262;15;0.00073;93.33
496;BELGIAN JOURNAL OF ZOOLOGY;BELG J ZOOL;353;0.826;0.739;15;0.00023;100
496;Eco mont-Journal on Protected Mountain Areas Research;ECO MONT;43;0.333;0.222;15;8e-05;100
496;NEMATROPICA;NEMATROPICA;282;0.245;0.163;15;0.00025;100
502;AMPHIBIAN & REPTILE CONSERVATION;AMPHIB REPTILE CONSE;87;0.833;0.767;14;0.00038;100
502;PHYTOCOENOLOGIA;PHYTOCOENOLOGIA;574;1.657;1.229;14;0.00031;100
502;TRANSACTIONS OF THE AMERICAN ENTOMOLOGICAL SOCIETY;T AM ENTOMOL SOC;620;0.27;0.27;14;0.00011;100
502;TROPICAL ZOOLOGY;TROP ZOOL;226;0.375;0.292;14;0.00016;100
506;Bulletin of the Peabody Museum of Natural History;B PEABODY MUS NAT HI;193;1.071;0.857;13;0.00043;84.62
506;DEUTSCHE ENTOMOLOGISCHE ZEITSCHRIFT;DEUT ENTOMOL Z;557;0.697;0.667;13;0.00028;76.92
506;MALACOLOGIA;MALACOLOGIA;791;0.943;0.886;13;0.00048;100
506;RECORDS OF THE AUSTRALIAN MUSEUM;REC AUST MUS;623;0.636;0.636;13;0.00018;100
506;REVISTA CHILENA DE HISTORIA NATURAL;REV CHIL HIST NAT;1182;0.702;0.681;13;0.00072;92.31
511;African Journal of Wildlife Research;AFR J WILDL RES;10;0.312;0.313;12;5e-05;91.67
